Time [s];Packet ID;Address;Data;Read/Write;ACK/NAK;
1.676.869.480.000.000;178;0x22;0x00;Write;ACK;
1.677.816.000.000.000;178;0x22;0x16;Write;ACK;
1.679.983.200.000.000;179;0x23;0x80;Read;NAK;
1.682.097.320.000.000;180;0x23;0x80;Read;NAK;
1.684.190.600.000.000;181;0x22;0x12;Write;ACK;
1.685.137.120.000.000;181;0x22;0x00;Write;ACK;
1.686.083.640.000.000;181;0x22;0x40;Write;ACK;
1.687.030.160.000.000;181;0x22;0x00;Write;ACK;
1.687.976.680.000.000;181;0x22;0x00;Write;ACK;
1.688.923.200.000.000;181;0x22;0x17;Write;ACK;
1.691.090.360.000.000;182;0x23;0x80;Read;NAK;
1.693.204.360.000.000;183;0x23;0x80;Read;NAK;
1.695.297.680.000.000;184;0x22;0x12;Write;ACK;
1.696.244.280.000.000;184;0x22;0x00;Write;ACK;
1.697.190.880.000.000;184;0x22;0x40;Write;ACK;
1.698.137.440.000.000;184;0x22;0x00;Write;ACK;
1.699.084.040.000.000;184;0x22;0x00;Write;ACK;
1.700.030.600.000.000;184;0x22;0x18;Write;ACK;
1.702.225.760.000.000;185;0x23;0x80;Read;NAK;
1.704.339.960.000.000;186;0x23;0x80;Read;NAK;
1.706.433.280.000.000;187;0x22;0x12;Write;ACK;
1.707.379.880.000.000;187;0x22;0x00;Write;ACK;
1.708.326.440.000.000;187;0x22;0x40;Write;ACK;
1.709.273.040.000.000;187;0x22;0x00;Write;ACK;
1.710.219.640.000.000;187;0x22;0x00;Write;ACK;
1.711.166.240.000.000;187;0x22;0x19;Write;ACK;
1.713.333.520.000.000;188;0x23;0x80;Read;NAK;
1.715.447.640.000.000;189;0x23;0x80;Read;NAK;
1.717.540.920.000.000;190;0x22;0x12;Write;ACK;
1.718.487.480.000.000;190;0x22;0x00;Write;ACK;
1.719.434.080.000.000;190;0x22;0x40;Write;ACK;
1.720.380.640.000.000;190;0x22;0x00;Write;ACK;
1.721.327.200.000.000;190;0x22;0x00;Write;ACK;
1.722.273.760.000.000;190;0x22;0x1A;Write;ACK;
